Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
18095,Health Informatics Specialists,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",300_b,11/05/2025,3,1,2,4,2,3
18992,Computer Network Support Specialists,Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,300_b,11/05/2025,2,2,3,4,1,4
14653,Software Quality Assurance Analysts and Testers,Provide feedback and recommendations to developers on software usability and functionality.,300_b,11/05/2025,3,1,4,4,3,3
19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,300_b,11/05/2025,3,2,4,4,2,4
14642,Software Quality Assurance Analysts and Testers,"Identify, analyze, and document problems with program function, output, online screen, or content.",300_b,11/05/2025,2,1,3,3,3,3
5314,Information Security Analysts,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",300_b,11/05/2025,3,1,4,4,1,4
14681,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",yijia,15/05/2025,2,1,3,4,3,3
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",yijia,15/05/2025,4,1,1,4,1,2
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,yijia,15/05/2025,3,1,2,5,1,3
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",yijia,15/05/2025,4,1,1,2,1,2
3480,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",yijia,15/05/2025,4,1,1,3,1,2
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,yijia,15/05/2025,4,1,1,3,1,2
